lakeID,lakeName,County,siteID,latitude,longitude,surfaceArea_km2,maxDepth_m,meanDepth_m,volume_m3,watershedArea_km2
68,Lake Pahoja,Lyon,22600001,43.38279105,-96.47057084,0.26,8.23,3.35,875154.06,21.37
69,Lake Smith,Kossuth,22550001,43.12315615,-94.24049429,0.21,3.05,1.83,423083.64,4.46
70,Lake Sugema,Van Buren,22890005,40.68419315,-91.98781498,2.96,10.36,3.63,8428368.84,45.74
71,Lake Wapello,Davis,22260001,40.81960604,-92.57457872,1.17,10.27,3.96,4658360.568,20.03
72,Little River Watershed Lake,Decatur,22270001,40.750242,-93.77893986,2.97,12.8,4.27,12766518,48.91
73,Little Sioux Park Lake,Woodbury,22970002,42.44659037,-95.80238094,0.05,8.84,3.02,156528.612,0.05
74,Little Spirit Lake,Dickinson,270630001,43.51243483,-95.1264964,2.44,2.19,,,6.75
75,Little Wall Lake,Hamilton,22400001,42.26772744,-93.63892534,1.01,4.24,1.98,2066079,0.87
76,Littlefield Lake,Audubon,22050001,41.55942085,-94.78643042,0.28,4.88,1.89,416916.24,10.85
77,Lost Island Lake,Palo Alto,22740002,43.17315158,-94.9013146,4.7,4.11,3.44,16264667.28,18.38
78,Lower Gar Lake,Dickinson,22300012,43.35226773,-95.12035042,1.02,2.1,0.94,941885.328,45.72
79,Lower Pine Lake,Hardin,22420001,42.36695432,-93.07805431,0.25,4.88,2.32,574678.332,3.39
80,Manteno Park Pond,Shelby,22830001,41.85345366,-95.46692496,0.06,2.5,1.34,75859.02,9.17
81,Mariposa Lake,Jasper,22500002,41.7772976,-92.96232511,0.07,6.13,1.52,112740.072,2.33
82,Meadow Lake,Adair,22010003,41.38709234,-94.43869007,0.14,5.43,1.98,319347.972,3.17
83,Meyer Lake,Black Hawk,22070003,42.46170994,-92.28941217,0.11,5.67,1.89,,5.71
84,Mill Creek Lake,Obrien,22710001,42.98476641,-95.67091104,0.09,4.88,3.08,314537.4,14.56
